track_name,price,rating_count_tot,user_rating,prime_genre
PAC-MAN Premium,1.0,21292,4.0,Games
Evernote - stay organized,0.0,161065,4.0,Productivity
"WeatherBug - Local Weather, Radar, Maps, Alerts",0.0,188583,3.5,Weather
"eBay: Best App to Buy, Sell, Save! Online Shopping",0.0,262241,4.0,Shopping
Bible,0.0,985920,4.5,Reference
Shanghai Mahjong,1.0,8253,4.0,Games
PayPal - Send and request money safely,0.0,119487,4.0,Finance
Pandora - Music & Radio,0.0,1126879,4.0,Music
PCalc - The Best Calculator,1.0,1117,4.5,Utilities
Ms. PAC-MAN,1.0,7885,4.0,Games
Solitaire by MobilityWare,1.0,76720,4.5,Games
SCRABBLE Premium,1.0,105776,3.5,Games
Google – Search made just for mobile,0.0,479440,3.5,Utilities
Bank of America - Mobile Banking,0.0,119773,3.5,Finance
FreeCell,1.0,6340,4.5,Games
TripAdvisor Hotels Flights Restaurants,0.0,56194,4.0,Travel
Facebook,0.0,2974676,3.5,Social Networking
"Yelp - Nearby Restaurants, Shopping & Services",0.0,223885,4.0,Travel
"Shazam - Discover music, artists, videos & lyrics",0.0,402925,4.0,Music
Crash Bandicoot Nitro Kart 3D,1.0,31456,4.0,Games
iQuran,1.0,2929,4.5,Reference
:) Sudoku +,1.0,11447,5.0,Games
"Yahoo Sports - Teams, Scores, News & Highlights",0.0,137951,4.0,Sports
Mileage Log | Fahrtenbuch,1.0,8,4.5,Business
Cleartune - Chromatic Tuner,1.0,3241,4.0,Music
Lifesum – Inspiring healthy lifestyle app,0.0,5795,3.5,Health & Fitness
Hangman.,0.0,42316,3.0,Games
iTranslate - Language Translator & Dictionary,0.0,123215,3.5,Productivity
TouchOSC,1.0,782,4.0,Music
RadarScope,1.0,3449,4.0,Weather
LinkedIn,0.0,71856,3.5,Social Networking
Period Tracker Deluxe,1.0,13350,4.5,Health & Fitness
Election 2016 Map,1.0,137,3.0,Entertainment
Blackjack by MobilityWare,0.0,180087,3.5,Games
White Noise,1.0,33426,4.0,Health & Fitness
iHeartRadio – Free Music & Radio Stations,0.0,293228,4.0,Music
Line Rider iRide™,1.0,21609,3.5,Entertainment
Deliveries: a package tracker,1.0,4684,4.0,Utilities
Hurricane Pro,1.0,2104,4.5,Weather
Fieldrunners,1.0,41633,4.0,Games
Juxtaposer,1.0,3610,4.5,Photo & Video
Deezer - Listen to your Favorite Music & Playlists,0.0,4677,3.0,Music
iStellar,1.0,30,3.5,Navigation
Sonos Controller,0.0,48905,4.5,Music
Avertinoo,1.0,32,3.0,Navigation
Google Earth,0.0,446185,3.5,Travel
iFart - The Original Fart Sounds App,1.0,21825,3.0,Entertainment
PAC-MAN,0.0,508808,3.0,Games
FOX Sports Mobile,0.0,57500,3.0,Sports
First Words Animals,1.0,2576,4.0,Games
WeatherPro,1.0,1572,4.0,Weather
HotSchedules,1.0,3292,3.0,Business
Star Walk - Find Stars And Planets in Sky Above,1.0,8932,4.5,Education
"The Weather Channel: Forecast, Radar & Alerts",0.0,495626,3.5,Weather
Big Day - Event Countdown,1.0,812,3.0,Lifestyle
12 Steps AA Companion - Alcoholics Anonymous,1.0,1583,3.5,Lifestyle
OpenTable - Restaurant Reservations,0.0,113936,4.5,Food & Drink
VLC Remote,1.0,2027,4.0,Entertainment
gFlashPro - Flashcards & Tests,1.0,768,4.0,Education
Lose It! – Weight Loss Program and Calorie Counter,0.0,373835,4.0,Health & Fitness
Target,0.0,108131,3.0,Shopping
Fish Tycoon,1.0,18943,3.5,Games
"Amazon App: shop, scan, compare, and read reviews",0.0,126312,3.5,Shopping
Touchgrind,1.0,35735,4.0,Games
ProPresenter Remote,1.0,410,3.0,Utilities
iReal Pro - Music Book & Play Along,1.0,1390,4.5,Music
NRJ Radio,0.0,38,3.5,Music
Chase Mobile℠,0.0,233270,4.5,Finance
